name,url,price,description,image_urls
GLAMIRARing Wrangel,https://www.glamira.com/glamira-ring-wrangel.html,"$2,675.00",14K Rose & White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Wrangel-cc/diamond/diamond-Brillant_AA/stone2/diamond-Brillant_AAA/alloycolour/red_white.jpg
GLAMIRARing Ahmonie,https://www.glamira.com/glamira-ring-ahmonie.html,"$1,370.00",14K Rose & White Gold & Garnet & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Ahmonie/diamond/garnet_AAA/stone2/diamond-sapphire_AAA/alloycolour/red_white.jpg
